rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/1006234-dracula,,False,TV Guide,Fresh,3/4,2007-09-25,"The atmospheric opening is the best part -- moody and full of sinister potential. After that, it's stilted drawing-room talk, variably acted, except for the cultish over-the-top dementia of Dwight Frye."
m/1006234-dracula,Dave Kehr,True,Chicago Reader,Fresh,,2007-09-25,"The opening scenes, set in Dracula's castle, are magnificent -- grave, stately, and severe. But the film becomes unbearably static once the action moves to England."
m/1006234-dracula,Steve Crum,False,Video-Reviewmaster.com,Fresh,5/5,2008-03-22,All time horror classic starring Lugosi; still creepy as blazes.
m/1006234-dracula,Variety Staff,True,Variety,Fresh,,2008-10-07,A sublimated ghost story related with all surface seriousness and above all with a remarkably effective background of creepy atmosphere.
m/1006234-dracula,,True,TIME Magazine,Fresh,,2008-10-15,"An exciting melodrama, not as good as it ought to be but a cut above the ordinary trapdoor-and-winding-sheet type of mystery film."
m/1006234-dracula,Steve Biodrowski,False,ESplatter,Fresh,,2008-11-24,A classic despite numerous flaws.
m/1006234-dracula,Cole Smithey,False,ColeSmithey.com,Fresh,A,2009-05-08,"Stark, cold, and deeply sensual, ""Dracula's"" atmosphere and intention is rooted in a fear of unknown lust and desire from which there can be no escape. To view ""Dracula"" is to be bitten by the vampire's desperate attack."
m/1006234-dracula,Tim Brayton,False,Antagony & Ecstasy,Rotten,4/10,2009-10-06,A perfect example of the worst traits of Hollywood films in the early sound era.
m/1006234-dracula,Dan Jardine,False,Cinemania,Fresh,70/100,2010-07-21,Lugosi's seminal performance and the striking opening act are what distinguish Browning's version of the classic tale.
m/1006234-dracula,David Nusair,False,Reel Film Reviews,Rotten,2/4,2012-11-17,...it's clear that the movie simply doesn't hold up terribly well all these years later.
m/1006234-dracula,Alan Jones,False,Radio Times,Fresh,4/5,2013-10-07,"It remains the most subtly romantic and highly atmospheric rendition of Bram Stoker's tale about the Transylvanian count, with Browning orchestrating the opening scenes to macabre perfection."
m/1006234-dracula,John Gholson,False,Cinematical,Fresh,,2014-03-26,It's a case of lightning-in-a-bottle casting and there's no way of telling if anyone else as Dracula would've become the model for every single Dracula that followed.
m/1006234-dracula,Paul Chambers,False,Movie Chambers,Fresh,A,2014-10-23,"Bela Lugosi gives his greatest performance as the mesmerizing menace from Transylvania. Dracula chilled audiences in the 1930's, and it still gives me goosebumps."
m/1006234-dracula,Bob Bloom,False,"Journal and Courier (Lafayette, IN)",Fresh,3/4,2015-10-23,"The abundance of older features on Blu-rays and DVDs have helped give younger filmgoers an appreciation of classic movies. ""They can learn so much more on how to pace and set a scene from Tod Browning over Michael Bay,"" Mankiweicz said."
m/1006234-dracula,Mike Massie,False,Gone With The Twins,Fresh,7/10,2020-07-26,"It's more fantasy than horror, though it excels in crafting a forbidding atmosphere."
m/1006234-dracula,Federico Furzan,False,Cinelipsis,Fresh,,2020-10-01,A fantastic affirmation of genre made over a century ago. The beginning of something grandious. [Full article in Spanish].
m/1006235-dracula,Luke Y. Thompson,False,New Times,Fresh,3/5,2003-06-12,As close as had been done at that point to the original Stoker novel.
m/1006235-dracula,Carol Cling,False,Las Vegas Review-Journal,Fresh,4/5,2003-12-05,
m/1006235-dracula,Steve Crum,False,Kansas City Kansan,Fresh,3/5,2004-10-24,Palance pretty creepy Count
m/1006235-dracula,Greg Maki,False,"Star-Democrat (Easton, MD)",Rotten,1/5,2005-01-24,
m/1006235-dracula,Emanuel Levy,False,EmanuelLevy.Com,Rotten,2/5,2005-07-31,
m/1006236-dracula,Scott Weinberg,False,eFilmCritic.com,Rotten,2.5/5,2002-07-26,Just doesn't fly.
m/1006236-dracula,Jeffrey Westhoff,False,"Northwest Herald (Crystal Lake, IL)",Rotten,2/5,2002-08-30,
m/1006236-dracula,Ken Hanke,False,"Mountain Xpress (Asheville, NC)",Rotten,2/5,2002-11-05,"Nice production values, but that's about it"
m/1006236-dracula,Nell Minow,False,Movie Mom,Fresh,4/5,2002-11-27,
m/1006236-dracula,Carol Cling,False,Las Vegas Review-Journal,Fresh,4/5,2004-05-21,
m/1006236-dracula,Frank Swietek,False,One Guy's Opinion,Fresh,3/5,2005-02-13,
m/1006236-dracula,Emanuel Levy,False,EmanuelLevy.Com,Fresh,3/5,2005-08-14,
m/1006236-dracula,Chuck O'Leary,False,Fantastica Daily,Fresh,3.5/4,2006-01-26,"The casting is right on target and the atmosphere fittingly eerie in director John Badham's suspenseful, handsomely-mounted 1979 version."
m/1006236-dracula,Boo Allen,False,Denton Record-Chronicle,Rotten,2/5,2007-01-12,
m/1006236-dracula,Rob Gonsalves,False,eFilmCritic.com,Fresh,4/5,2007-04-21,"Granted, it's staged and composed like Masterpiece Theatre."
m/1006236-dracula,Variety Staff,True,Variety,Fresh,,2009-03-26,"A handsome, moody rendition, more romantic than menacing."
m/1006236-dracula,Brian Holcomb,False,Kinetofilm,Fresh,3/5,2010-02-01,"This is sort of a Saturday Night Fever version of the story with a stylish, afro'ed Langella walking around with an open shirt looking for girls to take to his Castle Disco."
m/1006236-dracula,Jeremy Heilman,False,MovieMartyr.com,Rotten,49/100,2012-06-11,"Several horror scenes, notably those not involving Dracula himself, are genuinely creepy."
m/1006236-dracula,Ted Whitehead,False,The Spectator,Fresh,,2015-09-22,"John Badham directs with great verve and pace, considerably helped by the atmospheric organ music of John Williams and the London Symphony Orchestra."
m/1006236-dracula,Jesús Fernández Santos,False,El Pais (Spain),Fresh,,2019-08-08,"The story, shot in some of the more beautiful British landscapes, is improved by being set at the beginning of the century and by the actors who turn this well-known story into a work of rare visual perfection. [Full Review in Spanish]"
m/1006236-dracula,Bernard Drew,False,Gannett News Service,Rotten,,2019-09-20,"All of this should either make us shiver or giggle or both, but it doesn't do anything. Something has been lost not only on the road from Transylvania, but on the road from Broadway to Hollywood."
m/1006236-dracula,Matt Brunson,False,Film Frenzy,Rotten,1.5/4,2019-11-30,One of the worst of all straightforward versions of the venerable Bram Stoker tale.
m/brides_of_dracula,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Rotten,C+,2002-05-28,One of the better horror films put out by the schlock Hammer studio.
m/brides_of_dracula,James Sanford,False,Kalamazoo Gazette,Fresh,3/5,2002-07-29,"""lusty vampire romp"""
m/brides_of_dracula,Philip Martin,False,Arkansas Democrat-Gazette,Rotten,2/5,2002-07-30,
m/brides_of_dracula,Ken Hanke,False,"Mountain Xpress (Asheville, NC)",Fresh,4.5/5,2003-05-12,Kind of Dracula Meets Tennessee Williams.
m/brides_of_dracula,Film4 Staff,False,Film4,Fresh,,2003-05-24,"Fisher directs with characteristic fluency, and the cast is splendid."
m/brides_of_dracula,Randy Shulman,False,"Metro Weekly (Washington, DC)",Fresh,3/5,2004-11-04,
m/brides_of_dracula,Bosley Crowther,True,New York Times,Rotten,2/5,2005-05-09,Here is but another repetition of the standard tale of the vampire bugaboo who likes to sink his oversized dentures into the necks of pretty girls.
m/brides_of_dracula,Emanuel Levy,False,EmanuelLevy.Com,Rotten,2/5,2005-08-21,
m/brides_of_dracula,Staci Layne Wilson,False,Horror.com,Fresh,,2005-08-30,"While the plot is over the top and certainly contrived, there are enough spooky sequences to keep horror fans occupied."
m/brides_of_dracula,Christopher Null,False,Filmcritic.com,Fresh,3/5,2005-09-20,"When the story lags (and it often does), at least you have copious eye candy to feast on."
m/brides_of_dracula,Tom Milne,True,Time Out,Fresh,,2006-06-24,"Patchy but striking, and directed with Fisher's usual flair."
m/brides_of_dracula,Tim Brayton,False,Antagony & Ecstasy,Fresh,7/10,2008-10-05,"If it isn't as iconic and elemental as its predecessor, that's no reflection on how well it works as a vampire entertainment on its own...an unusually original way to continue the closed-off story of Bram Stoker's novel."
m/brides_of_dracula,Steve Biodrowski,False,ESplatter,Fresh,,2008-10-21,"The film features the familiar elements (beautiful color cinematography, lavish sets, solid writing, strong performances), making this a worthy heir to its predecessor."
m/brides_of_dracula,,False,TV Guide,Fresh,2.5/4,2009-10-21,Chilling special effects highlight a rather gory production.
m/brides_of_dracula,Jennie Kermode,False,Eye for Film,Fresh,3/5,2010-10-22,
m/brides_of_dracula,Chris Alexander,False,Alexander On Film,Fresh,,2018-07-24,"Fisher directs like a bat out of hell, the movie looks sumptuous...Hammer at its best."
m/dracula_2000,JoBlo,False,JoBlo's Movie Network,Fresh,7/10,2000-12-21,Enough cheap scares for pretty much anyone looking for some enjoyable bloody fun.
m/dracula_2000,Frank Swietek,False,One Guy's Opinion,Rotten,F,2000-12-22,"The picture's roughly the equivalent of one of those cruddy, direct-to-video horror flicks broadcast on the SciFi Network in the wee morning hours."
m/dracula_2000,Geoff Pevere,True,Toronto Star,Rotten,,2000-12-22,"Considering that it arrives a week before going stale-dated, one shouldn't expect much electricity from Dracula 2000. And shocking it isn't."
m/dracula_2000,Bob Thompson,False,Jam! Movies,Fresh,,2000-12-22,"So hip and happening, it grooves."
m/dracula_2000,Maitland McDonagh,False,TV Guide,Rotten,6/10,2000-12-22,"Lots of classic vampire lore is minced and forced into a shiny new casing in this glossy shocker, but in the end it's the same old blood pudding."
m/dracula_2000,Gemma Files,True,Film.com,Fresh,,2000-12-22,"Dracula 2000 is nothing more or less than pure popcorn filmmaking, with an emphasis on the 'corn', and...apparently... proud of it."
m/dracula_2000,Gary Dowell,True,Dallas Morning News,Fresh,,2000-12-22,"It doesn't always work, but it does manage hold our interest."
m/dracula_2000,,True,Entertainment Weekly,Rotten,C-,2000-12-22,
m/dracula_2000,Jim Judy,False,Screen It!,Rotten,,2000-12-24,Clearly comes off as the weakest of any recent vampire flicks.
m/dracula_2000,Bruce Westbrook,True,Houston Chronicle,Rotten,,2000-12-24,"Any new vampire film needs fresh blood, and this one is clotted with clichs, including its Matrix-style acrobatics."
m/dracula_2000,V.A. Musetto,True,New York Post,Rotten,,2000-12-24,"The special effects, which owe a debt to the vastly superior Nightmare on Elm Street series, are bargain basement, at best."
m/dracula_2000,John Monaghan,True,Detroit Free Press,Rotten,,2000-12-24,Butler's Dracula might be the worst ever committed to film.
m/dracula_2000,Peter Stack,True,San Francisco Chronicle,Rotten,1/4,2000-12-24,"A bloody mess as a movie, one with acting so lame it's likely to prompt shrieks, not of horror but of derisive laughter."
m/dracula_2000,Stephen Holden,True,New York Times,Rotten,0/5,2000-12-24,"A thudding, suspense-free montage of unshocking shock effects and more severed heads than toppled during the French Revolution."
m/dracula_2000,James Brundage,False,Filmcritic.com,Rotten,2/5,2000-12-24,"The movie isn't even worth the time in line for popcorn, let alone in the theatre."
m/dracula_2000,Kirk Honeycutt,True,Hollywood Reporter,Rotten,,2000-12-25,A perfect example of the kind of rigidly conventional vampire movie that wearies contemporary horror buffs.
m/dracula_2000,Joe Leydon,True,Variety,Rotten,,2000-12-25,The slapdash pic appears to be the work of folks who made things up as they went along.
m/dracula_2000,James Berardinelli,True,ReelViews,Rotten,1/4,2000-12-25,"There is ... very little that this film does right, and I can identify nothing to justify its existence."
m/dracula_2000,David Chute,True,Los Angeles Times,Rotten,2.5/5,2000-12-25,[Dracula is] never a force of evil of mythic proportions; he seems small-minded and even whiny.
m/dracula_2000,Eric D. Snider,False,EricDSnider.com,Rotten,D+,2000-12-27,"Strip away the Dracula plot, and this is essentially just a stupid slasher movie."
m/dracula_2000,,False,E! Online,Rotten,,2000-12-28,"This bloodsucker is, well, kinda sucky."
m/dracula_2000,Tor Thorsen,False,Reel.com,Fresh,2.5/4,2000-12-28,"An entertaining excursion into the cheap thrills of second-rate horror, with plenty of bloody mayhem, kitschy crucifixes, and heaving bodices for the Nosferatu inside you."
m/dracula_2000,Dave White,False,IFilm,Rotten,,2000-12-28,Long stretches of nothingness and plot where there should be flesh-ripping violence and gore.
m/dracula_2000,Steve Schneider,False,Orlando Weekly,Rotten,,2000-12-28,"Not only is D2K wretchedly written ... and laughably acted, but its pacing is lugubrious."
m/dracula_2000,Cody Clark,True,Mr. Showbiz,Rotten,,2000-12-28,Even true believers will have a hard time sinking their fangs into this thoroughly perfunctory affair.
m/dracula_2000,Gregory Weinkauf,False,New Times,Rotten,,2000-12-28,Essentially a load of extremely familiar riffs.
m/dracula_2000,Robert K. Elder,True,Chicago Tribune,Rotten,,2000-12-28,Wilts when compared in the light with other Dracula films.
m/dracula_2000,Todd R. Ramlow,False,PopMatters,Fresh,,2000-12-28,"To my surprise Dracula 2000, wasn't all that bad and I actually found myself largely enjoying it."
m/dracula_2000,Robert Roten,False,Laramie Movie Scope,Fresh,7/10,2001-01-01,"You've got the usual blood and gore, paired with low-cut dresses and heaving bosoms."
m/dracula_2000,Steve Rhodes,False,Internet Reviews,Rotten,4/10,2001-01-04,"Neither a comedy nor a horror picture, Dracula 2000 plays more like a bad industrial video for vampire exterminators."
m/dracula_2000,Greg Muskewitz,False,eFilmCritic.com,Rotten,2/5,2001-02-07,This is a jejune hack-Drac.
m/dracula_2000,Kamal  'The Diva' Larsuel,False,3BlackChicks Review,Rotten,2/5,2001-02-07,Almost drained the life right out of me.
m/dracula_2000,Cynthia Fuchs,False,Nitrate Online,Rotten,,2001-02-07,"Into this way-overkilled fray leaps yet another vampire flick, carefully timed for maximum suckage during this Holiday Season."
m/dracula_2000,Urban Cinefile Critics,False,Urban Cinefile,Rotten,,2001-03-23,"Vampire movies are on the comeback. But like any genre, the offerings to hit our screens vary in quality."
m/dracula_2000,Daniel Papkin,False,Movieline,Rotten,,2001-04-16,Lussier seems to find his choice of decor and special effects far more interesting than directing his charges or telling a story.
m/dracula_2000,Jane Crowther,True,BBC.com,Rotten,1/5,2001-05-21,Bargain basement horror.
m/dracula_2000,Peter Travers,True,Rolling Stone,Rotten,0.5/5,2001-06-04,"Dracula may stay undead in the new millennium, but there's not a sign of life -- oh, that bloodless acting -- in this sorry mess."
m/dracula_2000,Marc Savlov,False,Anchorage Press,Rotten,,2001-06-12,"Not the worst Romanian count we've seen, but certainly not the best, Dracula 2000 is a middling film through and through, despite the occasional shocks it tries to earnestly achieve."
m/dracula_2000,Kim Newman,False,Empire Magazine,Rotten,2/5,2001-06-15,"Not only is the guy playing Dracula not terrific, he barely even registers on screen."
m/dracula_2000,Karina Montgomery,False,Cinerina,Fresh,3,2001-06-15,"What Dracula 2000 lacks in innovative filmmaking, it gains in giggle fun. This is an ""old-school"" vampire movie."
m/dracula_2000,Keith H. Brown,False,Eye for Film,Rotten,1.5/5,2001-07-09,Bad in just about every way.
m/dracula_2000,John J. Puccio,False,Movie Metropolis,Rotten,3/10,2001-07-19,"...thanks to Hollywood, Dracula really is eternal. With those kind of odds, I suppose eventually we'll get a vampire flick worth watching. But this ain't it."
m/dracula_2000,Peter Bradshaw,True,Guardian,Rotten,,2001-08-10,"This is occasionally entertaining stuff, but deeply silly."
m/dracula_2000,Wesley Lovell,False,Apollo Guide,Rotten,42/100,2001-09-26,Dracula 2000 is an update of the classic story that unfortunately drives several nails into the coffin of the vampire genre.
m/dracula_2000,Walter Chaw,False,Film Freak Central,Rotten,0.5/4,2001-10-28,Its screenplay is so rudderless and random that it might just as well have been written by the vacuous pre-teens that most likely comprise its key demographic.
m/dracula_2000,Rich Cline,False,Shadows on the Wall,Rotten,2.5/5,2001-12-10,Just what we need: another Dracula movie!
m/dracula_2000,Chuck Rudolph,False,Matinee Magazine,Rotten,,2002-03-08,Anyone not high and surrounded by thirty of their closest friends would be well advised to leave this Dracula entombed.
m/dracula_2000,"Michael W. Phillips, Jr.",False,Goatdog's Movies,Rotten,0.5/5,2002-03-10,Unable to add a single new thought or shot to the tired vampire genre.
m/dracula_2000,Dwayne E. Leslie,False,Boxoffice Magazine,Rotten,2.5/5,2002-06-05,The film concentrates more on the gore and less on fright and suspense.
m/dracula_2000,James Sanford,False,Kalamazoo Gazette,Rotten,,2002-06-15,"Director Patrick Lussier has a keen eye for color and knows how to compose a great-looking shot; unfortunately, Lussier also co-wrote and edited the film, effectively undermining his talent."
m/dracula_2000,David Nusair,False,Reel Film Reviews,Rotten,2.5/4,2002-10-10,"While not a truly terrible vampire movie like The Forsaken, Dracula 2000 could have been so much more."
m/dracula_2000,Ron Wells,False,Film Threat,Rotten,2.5/5,2002-12-08,The filmmakers were stuck with a script containing good ideas poorly executed.
m/dracula_2000,John R. McEwen,False,Film Quips Online,Rotten,3/5,2003-02-08,"There are precious few good performances in this movie, and it would be really great if the title character were one of them."
m/dracula_2000,Harry Guerin,False,RTÉ (Ireland),Rotten,1/5,2003-02-13,There's enough holes in the plot to drive a 40-foot hearse through.
m/dracula_2000,Scott Nash,False,Three Movie Buffs,Rotten,1/4,2005-09-30,[It] will be consigned to the bin with all the other Dracula rejects.
m/dracula_2000,,True,Time Out,Rotten,,2006-01-26,"One half-expects a sexually subversive, blood-soaked gay carnival. Instead, Simon makes the effete Dracula (Butler) suck on some abuse."
m/dracula_2000,Rob Gonsalves,False,eFilmCritic.com,Rotten,1/5,2007-07-30,"We're talking 5,940 seconds better spent doing anything else under the sun, including but not limited to pulling out one's toenails one by one."
m/dracula_2000,Mark Halverson,False,Sacramento News & Review,Rotten,1/5,2008-08-07,The use of Craven's name in the title is a cheesy marketing ploy and the secret to the fanged suitor's aversion to all things Christian is an even cheesier hoot.
m/dracula_2000,Gerry Gallo,False,Hollywood.com,Fresh,3/5,2008-11-20,
m/dracula_2000,,False,Film4,Rotten,,2009-10-20,"While the result certainly doesn't suck, it does lack any real bite."
m/dracula_2000,Lisa Alspector,True,Chicago Reader,Rotten,,2009-10-20,"Mary, a descendant of the prototypical vampire slayer, works at a Virgin megastore in New Orleans, and the gratuitous use of the city during Mardi Gras is the least of this movie's unoriginal sins."
m/dracula_2000,Michael Dequina,False,TheMovieReport.com,Rotten,2/4,2010-03-26,"Without a single scare to its credit nor a particularly inspired storyline, this film fails to justify its existence."
m/dracula_2000,Ellen MacKay,False,Common Sense Media,Rotten,1/5,2011-01-01,"Too scary, too gory, too gross."
m/dracula_2000,Owen Gleiberman,True,Entertainment Weekly,Rotten,C-,2011-09-07,
m/dracula_2000,Felix Vasquez Jr.,False,Cinema Crazed,Fresh,,2012-10-28,"It's still a fun bit of ""Matrix"" lite horror fare..."
m/dracula_2000,Steve Newton,False,Georgia Straight,Fresh,3/5,2014-02-07,"A fast-paced and captivating exercise in gory action-horror,  la Wesley Snipes's 1998 bloodsucker epic, Blade."
m/dracula_2000,Nick Rogers,False,Midwest Film Journal,Rotten,1/5,2019-04-01,"A milquetoast Matrix-y vampire movie that cobbles together a bunch of Scream franchise castoffs or wannabes, salvaged (if at all) by some suave charisma by Gerard Butler, playing Dracula in his major Hollywood debut."
m/dracula_2000,Kaleem Aftab,False,The List,Fresh,3/5,2019-04-16,"Has its moments, comic and heart-in-the-mouth, especially when Butler's Dracula is allowed to strut his stuff."
m/dracula_2000,Sarah Cartland,False,Caution Spoilers,Rotten,2.5/5,2020-01-23,"Butler is certainly charismatic as the undead bloodsucker, despite only having two expressions: slight bafflement, and, when an attractive neck comes into view, that of a small boy who's just heard an ice-cream van tinkling round the corner."
m/dracula_ad_1972,Emanuel Levy,False,EmanuelLevy.Com,Rotten,2/5,2005-08-22,
m/dracula_ad_1972,Michael Szymanski,False,International Press Academy,Fresh,3/5,2005-11-04,
m/dracula_ad_1972,,True,Time Out,Rotten,,2006-01-26,Crass Hammer trash.
m/dracula_ad_1972,Tim Brayton,False,Antagony & Ecstasy,Rotten,4/10,2008-10-25,A sad way to watch a formerly great series enter its death throes.
m/dracula_ad_1972,Chris Nashawaty,True,Entertainment Weekly,Fresh,,2010-07-21,"Dracula A.D. 1972 isn't a great movie. But it is an undeniable hoot to watch especially if, like the Count, ""you've got an eye for London's hot pants... "" And who doesn't, really?"
m/dracula_ad_1972,Christopher Null,False,Filmcritic.com,Rotten,2/5,2010-07-21,"Rather awful, this is one of the sadder entries in the Dracula canon."
m/dracula_ad_1972,,False,TV Guide,Rotten,1/4,2010-07-21,A modern version of Dracula that is the weakest in the Lee-Hammer series.
m/dracula_ad_1972,Roger Ebert,True,Chicago Sun-Times,Rotten,1/5,2010-07-21,"This isn't a terrific rationale for another horror flick but, given Miss Beacham's ability to heave, and her bosom to heave with, it will have to do."
m/dracula_ad_1972,Matt Brunson,False,Film Frenzy,Rotten,2.5/4,2018-12-21,"The disappointment involving Dracula A.D. 1972 is that the title character never ventures outside his hiding ground, missing a rich opportunity for some interesting juxtapositions."
m/dracula_dead_and_loving_it,Barbara Shulgasser,False,San Francisco Examiner,Rotten,2/4,2000-01-01,"When so many of the jokes refer to old movie stars and the often hilarious conventions of movies from the 1930s and '40s, they fly over the heads of a major segment of today's movie-going population."
m/dracula_dead_and_loving_it,Christopher Null,False,Filmcritic.com,Rotten,2/5,2000-01-01,"Sadly, Brooks manages to hack it up like he did to poor Robin Hood, thanks to some very stale jokes and overly repetitious gags."
m/dracula_dead_and_loving_it,Desson Thomson,True,Washington Post,Rotten,,2000-01-01,"Dracula is anemic and mediocre, with only one or two moments to remind you of the former, funnier Brooks."
m/dracula_dead_and_loving_it,Susan Wloszczyna,True,USA Today,Rotten,1.5/4,2000-01-01,"If any movie proves that Mel Brooks' genius for skewering creaky genres has evaporated, it's this anemic attempt to draw new blood from low-flying vampire high jinks."
m/dracula_dead_and_loving_it,Joey O'Bryan,False,Austin Chronicle,Rotten,1/5,2000-01-01,Colorfully titled but ultimately banal.
m/dracula_dead_and_loving_it,Susan Stark,True,Detroit News,Rotten,1/4,2000-01-01,
m/dracula_dead_and_loving_it,Madeleine Williams,False,Cinematter,Rotten,0.5/4,2000-01-01,Slow and unfunny spoof on everyone's favorite bloodsucker.
m/dracula_dead_and_loving_it,Bob McCabe,False,Empire Magazine,Rotten,1/5,2000-01-01,Rubbish.
m/dracula_dead_and_loving_it,Hal Hinson,True,Washington Post,Rotten,,2000-01-01,"This time, unfortunately, he's sucking on a dry vein."
m/dracula_dead_and_loving_it,Mick LaSalle,True,San Francisco Chronicle,Fresh,3/4,2000-01-01,"Nielsen makes a dapper and calmly inept Dracula, but it's Brooks' irrepressible and oblivious Van Helsing who's the main attraction."
m/dracula_dead_and_loving_it,Mark R. Leeper,False,rec.arts.movies.reviews,Rotten,,2000-01-01,It is a sad state when all the best aspects of a Mel Brooks comedy have little to do with the humor.
m/dracula_dead_and_loving_it,James Berardinelli,True,ReelViews,Rotten,2/4,2000-01-01,It's a toothless parody that misses more often than it hits.
m/dracula_dead_and_loving_it,Scott Weinberg,False,eFilmCritic.com,Rotten,2.5/5,2002-07-26,"This anemic farce came from the mad-genius creator of ""Young Frankenstein""?"
m/dracula_dead_and_loving_it,Bob Grimm,False,Las Vegas Mercury,Rotten,1/5,2002-07-26,
m/dracula_dead_and_loving_it,Philip Martin,False,Arkansas Democrat-Gazette,Rotten,1/5,2002-07-29,
m/dracula_dead_and_loving_it,David Kronke,True,Los Angeles Times,Rotten,1/5,2002-08-15,"Not to venture forth some sort of radical idea, but aren't comedies supposed to have jokes?"
