rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/draculas_daughter,Dracula's Daughter,"Although Count Dracula was destroyed by Van Helsing (Edward Van Sloan), who is now being tried for his murder, Dracula's daughter, the Countess Marya Zaleska (Gloria Holden), is still alive -- and her father's death has brought her no closer to eradicating her vampiric thirst for blood. When attempts to free herself of the disease fail, she turns to psychiatrist Dr. Garth (Otto Kruger) for assistance, but soon finds herself struggling with the desire to make him one of the undead as well.","Dracula's Daughter extends the Universal horror myth in an interesting direction, but the talky script and mild atmosphere undermine its ambition.",NR,"Classics, Drama, Horror",Lambert Hillyer,Garrett Elsden Fort,"Gloria Holden, Otto Kruger, Marguerite Churchill, Irving Pichel, Edward Van Sloan, Nan Grey, Hedda Hopper, Gilbert Emery, Claud Allister, E.E. Clive, Halliwell Hobbes, Billy Bevan, Gordon Hart, Douglas Wood, Joseph R. Tozer, Eily Malyon, Fred Walton, Christian Rub, William Von Brincken, Edgar Norton, Guy Kingsford, David Dunbar, Paul Weigel, George Sorel, Douglas Gordon, Eric Wilton, Agnes Anderson, William Schramm, Owen Gorin, Elsa Janssen, Bela Lugosi, Bert Sprotte, John Blood, Clive Morgan, Hedwig Reicher, John Power, Vesey O'Davoren, Edna Lyall, Sylvia Chaldecott, George Kirby, Vernon Steele, Paul Mitchell, Pietro Sosso",1936-01-01,2017-05-16,72,Passport,Rotten,55,20,Spilled,41,2976,3,11,9
m/horror_of_dracula,Horror of Dracula,"On a search for his missing friend Jonathan Harker (John Van Eyssen), vampire hunter Dr. Van Helsing (Peter Cushing) is led to Count Dracula's (Christopher Lee) castle. Upon arriving, Van Helsing finds an undead Harker in Dracula's crypt and discovers that the count's next target is Harker's ailing fiancée, Lucy Holmwood (Carol Marsh). With the help of her brother, Arthur (Michael Gough), Van Helsing struggles to protect Lucy and put an end to Count Dracula's parasitic reign of terror.","Trading gore for grandeur, Horror of Dracula marks an impressive turn for inveterate Christopher Lee as the titular vampire, and a typical Hammer mood that makes aristocracy quite sexy.",NR,"Classics, Horror",Terence Fisher,Jimmy Sangster,"Christopher Lee, Peter Cushing, Michael Gough, Melissa Stribling, Carol  Marsh, John Van Eyssen, Miles Malleson, Valerie Gaunt, Charles Lloyd Pack, Janina Faye, Judith Nelmes, Humphrey Kent, Olga Dickie, George Woodbridge, Barbara Archer, George Benson, Guy Mills, George Merritt, William Sherwood, John Mossman, Paul Cole, Dick Morgan, Geoffrey Bayldon",1958-05-08,2016-11-01,82,Universal Pictures,Certified-Fresh,90,40,Upright,80,10909,8,36,4
m/house_of_dracula,House of Dracula,"This monster movie focuses on the iconic vampire, Count Dracula (John Carradine), and Lawrence Talbot (Lon Chaney), better known as the Wolf Man. Both beings of the night are tired of their supernatural afflictions, so they seek out Dr. Franz Edelmann (Onslow Stevens) for cures for their respective curses. While trying to aid the imposing creatures, Edelmann himself develops a transformative condition, adding to the many ghouls lurking around the foreboding landscape.",,NR,"Horror, Science Fiction & Fantasy",Erle C. Kenton,Edward T. Lowe,"Creighton Chaney, John Carradine, Martha O'Driscoll, Lon Chaney, Jane Adams, Lionel Atwill, Onslow Stevens, Ludwig Stossel, Glenn Strange, Skelton Knaggs, Joseph E. Bernard, Dick Dickinson, Fred Cordova, Carey Harrison, Harry Lamont, Gregory Muradian, Beatrice Gray, Lon Chaney Jr",1945-11-01,2016-10-11,67,Passport,Rotten,56,9,Spilled,29,4959,1,5,4
m/nosferatu,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire)","In this highly influential silent horror film, the mysterious Count Orlok (Max Schreck) summons Thomas Hutter (Gustav von Wangenheim) to his remote Transylvanian castle in the mountains. The eerie Orlok seeks to buy a house near Hutter and his wife, Ellen (Greta Schroeder). After Orlok reveals his vampire nature, Hutter struggles to escape the castle, knowing that Ellen is in grave danger. Meanwhile Orlok's servant, Knock (Alexander Granach), prepares for his master to arrive at his new home.","One of the silent era's most influential masterpieces, Nosferatu's eerie, gothic feel -- and a chilling performance from Max Schreck as the vampire -- set the template for the horror films that followed.",NR,"Art House & International, Classics, Horror, Science Fiction & Fantasy",F.W. Murnau,"Henrik Galeen, F.W. Murnau","Max Schreck, Alexander Granach, Gustav von Wangenheim, Greta Schröder, Ruth Landshoff, John Gottowt, Gustav Botz, Max Nemetz, Wolfgang Heinz, Albert Venohr, Karl Etlinger, Guido Herzfeld, Fanny Schreck, Hardy von Francois, Heinrich Witte, Greta Schröder, Georg H. Schnell",1922-03-04,2015-01-16,65,Film Arts Guild,Certified-Fresh,97,66,Upright,87,48011,14,64,2
m/nosferatu_the_vampyre,Nosferatu: Phantom der Nacht (Nosferatu the Vampyre),"Jonathan Harker is sent away to Count Dracula's castle to sell him a house in Virna, where he lives. But Count Dracula is a vampire, an undead ghoul living off men's blood. Inspired by a photograph of Lucy Harker, Jonathan's wife, Dracula moves to Virna, bringing with him death and plague... An unusually contemplative version of Dracula, in which the vampire bears the cross of not being able to get old and die.",Stunning visuals from Werner Herzog and an intense portrayal of the famed bloodsucker from Klaus Kinski make this remake of Nosferatu a horror classic in its own right.,PG,"Art House & International, Horror",Werner Herzog,Werner Herzog,"Klaus Kinski, Isabelle Adjani, Bruno Ganz, Roland Topor, Walter Ladengast, Dan van Husen, Jan Groth, Carsten Bodinus, Martje Grohmann, Rijk de Gooyer, Clemens Scheitz, Lo van Hartingsveld, Tim Beekman, Lo van Hensbergen, Jacques Dufilho, Beverly Walker, John Leddy, Margiet van Hartingsveld",1979-01-17,2016-11-19,107,20th Century Fox,Certified-Fresh,95,59,Upright,83,21309,14,56,3
m/rites_of_dracula,The Satanic Rites of Dracula,"Van Helsing (Peter Cushing) seeks the 700-year-old count (Christopher Lee), who is dead and living in London with his vampire bride.",,R,"Art House & International, Horror",Alan Gibson,Don Houghton,"Christopher Lee, Peter Cushing, Michael Coles, William Franklyn, Freddie Jones, Joanna Lumley, Richard Vernon, Barbara Yu Ling, Patrick Barr, Richard Mathews, Lockwood West, Valerie Van Ost, Maurice O'Connell",1974-01-13,2012-04-16,88,Universal Studios,Rotten,20,5,Spilled,30,3821,0,1,4
m/scars_of_dracula,Scars of Dracula,"Bat's blood hits Dracula's (Christopher Lee) ashes, and he rises again to fight a couple (Dennis Waterman, Jenny Hanley) looking for trouble.",,R,"Art House & International, Classics, Horror, Mystery & Suspense",Roy Ward Baker,"Anthony Hinds, John Elder","Christopher Lee, Dennis Waterman, Jenny Hanley, Christopher Matthews, Patrick Troughton, Michael Gwynn, Wendy Hamilton, Anoushka Hempel, Anouska Hempel, Delia Lindsay, Bob Todd, Toke Townley, Michael Ripper, David Leland, Richard Durden, Morris Bush, Margot Boht, Clive Barrie",1970-12-23,2016-10-21,94,MGM,Rotten,33,6,Spilled,43,3183,0,2,4
m/taste_the_blood_of_dracula,Taste the Blood of Dracula,Victorian thrill-seekers kill the vampire's (Christopher Lee) helper; he seduces their daughters to get even.,,R,"Art House & International, Classics, Drama, Horror, Science Fiction & Fantasy",Peter Sasdy,"Anthony Hinds, John Elder","Christopher Lee, Geoffrey Keen, Gwen Watford, Linda Hayden, Peter Sallis, Isla Blair, John Carson, Martin Jarvis, Anthony Corlan, Ralph Bates, Roy Kinnear, Shirley Jaffe, Michael Ripper, Russell Hunter, Reginald Barratt, Keith Marsh, Peter May, Madeline Smith, Liu Lai Ling, Malaika Martin",1970-06-07,2012-04-16,95,Warner Home Video,Fresh,67,12,Spilled,55,3615,0,8,4
m/vampyros_lesbos,Vampyros Lesbos (Lesbian Vampires: The Heiress of Dracula),"Linda Westinghouse (Ewa Stroemberg) is an American living in Istanbul. After having a recurring dream in which she is seduced by a gorgeous vampire, Linda is sent to a small island for her work. There, she meets and is actually seduced by Countess Nadine (Soledad Miranda), a dark, beautiful nightclub owner whom she immediately recognizes as the seductress from her dreams. When the conniving Dr. Seward (Dennis Price) learns of this, he contacts Linda, hoping to use her to become undead himself.",,NR,"Art House & International, Cult Movies, Horror",Jesús Franco,,"Susann Korda, Soledad Miranda, Dennis Price, Peter Paul Muller, Ewa Strömberg, Heidrun Kussin, Jesús Franco, Michael Berling",1970-12-31,2017-04-29,89,Floralva Exclusivas,Rotten,57,7,Spilled,48,4843,1,4,3
m/wes_craven_presents_dracula_iii_legacy_2004,Wes Craven Presents Dracula III: Legacy,"With help from his partner (Jason Scott Lee), a vampire hunter (Jason London) tries to save his fiancee from the evil count in Romania.",,R,Horror,Patrick Lussier,"Patrick Lussier, Joel Soisson","Jason Scott Lee, Jason London, Roy Scheider, Diane Neal, Alexandra Wescourt, Rutger Hauer, Stephen Billington, Gary J. Tunnicliffe",2004-12-31,2016-10-11,91,Miramax,Rotten,50,8,Spilled,32,5920,0,4,4
